index,elapsed,wall_time,j1,j2,j3,j4,gripper
1,3.8904082775115967,1781559302.7285297,-0.015339807607233524,-0.9096506237983704,0.1564660370349884,1.0047574043273926,0.0026792469434440136
2,10.442708730697632,1781559309.2808301,-0.05215534567832947,-0.8360195159912109,-0.15493206679821014,0.526155412197113,0.02728601172566414
3,14.0347158908844,1781559312.8728373,-0.9433981776237488,-0.5890486240386963,-0.49547579884529114,0.3298058807849884,0.027268383651971817
4,16.889809608459473,1781559315.727931,-1.1213399171829224,-0.6243301630020142,0.11351457983255386,0.07669904083013535,0.02728601172566414
5,21.461602210998535,1781559320.2997236,-0.954136073589325,-0.5292233824729919,0.9357282519340515,-0.279184490442276,0.027268383651971817
6,24.70977544784546,1781559323.5478969,-0.3067961633205414,-0.6488738656044006,1.303883671760559,-0.30833014845848083,0.0272155050188303
7,28.64466619491577,1781559327.4827876,-0.01073786523193121,-0.1702718734741211,1.2793400287628174,-0.7117670774459839,0.027233131229877472
8,32.61826801300049,1781559331.4563894,0.7071651220321655,-0.8636311888694763,1.0891263484954834,-0.10737865418195724,0.0272155050188303
9,36.12750172615051,1781559334.9656231,1.2471263408660889,-0.30833014845848083,0.33900976181030273,-0.3067961633205414,0.027233131229877472
10,39.70889210700989,1781559338.5470135,1.5984079837799072,-0.34207770228385925,-0.3037281930446625,-0.18561168015003204,0.027233131229877472
11,44.05468201637268,1781559342.8928034,0.7363107800483704,-0.8130097985267639,0.04295146092772484,0.058291271328926086,0.027233131229877472
12,48.616389751434326,1781559347.4545112,-0.2546408176422119,-0.849825382232666,0.5138835906982422,-0.6442719101905823,0.027233131229877472
13,56.00231337547302,1781559354.8404348,-0.08743690699338913,-0.24236896634101868,1.0216312408447266,-1.810097336769104,-0.004794440697878599
14,64.1605110168457,1781559362.9986324,0.032213594764471054,-0.8713011145591736,0.9096506237983704,0.4049709141254425,-0.004794440697878599
