sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
1,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,0.6059224009513855,1.0814564228057861,-0.6887573599815369,-0.4770680367946625,-1.7626196495257318e-05,493,292,0.7410000443458558,0.9181876182556152,"[427.88140869140625, 240.69554138183594, 559.5535278320312, 343.9498291015625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0001_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
2,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,0.41724276542663574,0.7531845569610596,-0.45099034905433655,-0.4601942300796509,-1.7626196495257318e-05,494,292,0.7420000314712525,0.9269173741340637,"[428.41717529296875, 240.0721435546875, 559.616455078125, 344.59307861328125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0002_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
3,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,0.21015536785125732,0.3543495535850525,-0.1702718734741211,-0.43718451261520386,-1.7626196495257318e-05,449,244,0.7170000553131104,0.9188136458396912,"[380.2366943359375, 195.44198608398438, 518.9571533203125, 293.8203430175781]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0003_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
4,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,0.0015339808305725455,-0.03528155758976936,0.1089126393198967,-0.4141748249530792,-1.7626196495257318e-05,374,184,0.709000039100647,0.8546010255813599,"[301.66766357421875, 139.10858154296875, 447.85858154296875, 229.76266479492188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0004_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
5,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,-0.20555342733860016,-0.424912691116333,0.3850291669368744,-0.3880971372127533,-1.7626196495257318e-05,324,144,0.7420000314712525,0.9321130514144897,"[266.5167236328125, 100.81554412841797, 383.3780517578125, 187.3856201171875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0005_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
6,1,1,grid_01_j1_-0.55_j2_-1.05_j3_+0.85,-0.41264083981513977,-0.809941828250885,0.6611457467079163,-0.3681553900241852,-1.7626196495257318e-05,288,126,0.7920000433921814,0.9335514903068542,"[232.71832275390625, 84.65638732910156, 345.27996826171875, 168.6817626953125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0006_cycle_01_pose_01_grid_01_j1_-0.55_j2_-1.05_j3_+0.85.jpg
7,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.5614369511604309,-1.0921943187713623,0.8636311888694763,-0.35128161311149597,-1.7626196495257318e-05,273,122,0.8320000648498536,0.9201191067695618,"[213.74453735351562, 86.85310363769531, 333.8678894042969, 158.22552490234375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0007_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
8,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.558368980884552,-1.0722525119781494,0.9219224452972412,-0.35281556844711304,-1.7626196495257318e-05,273,129,0.8430000424385071,0.9171213507652283,"[216.65032958984375, 98.25546264648438, 329.42413330078125, 161.65130615234375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0008_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
9,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.5568350553512573,-1.0661166906356812,0.9526020884513855,-0.35281556844711304,-3.5252818634035066e-05,269,139,0.8410000085830689,0.9159052968025208,"[212.92178344726562, 105.19347381591797, 326.1907043457031, 172.81011962890625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0009_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
10,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.5537670850753784,-1.0599807500839233,0.9863496422767639,-0.35281556844711304,-1.7626196495257318e-05,269,142,0.8450000166893006,0.9260262846946716,"[211.7578125, 108.03524780273438, 326.766845703125, 177.3858642578125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0010_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
11,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.5537670850753784,-1.0569127798080444,1.020097255706787,-0.35281556844711304,-1.7626196495257318e-05,268,147,0.8310000181198121,0.9394739270210266,"[211.06918334960938, 112.78982543945312, 326.2141418457031, 182.75387573242188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0011_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
12,1,2,grid_02_j1_-0.55_j2_-1.05_j3_+1.05,-0.5506991147994995,-1.0507768392562866,1.0507768392562866,-0.35281556844711304,-1.7626196495257318e-05,267,152,0.865000057220459,0.936400294303894,"[209.7621612548828, 117.31356811523438, 325.29522705078125, 187.79428100585938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0012_cycle_01_pose_02_grid_02_j1_-0.55_j2_-1.05_j3_+1.05.jpg
13,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.0507768392562866,-0.35281556844711304,-1.7626196495257318e-05,267,157,0.8620000362396241,0.9359641075134277,"[209.9222412109375, 121.58707427978516, 324.82763671875, 192.76083374023438]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0013_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
14,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.0507768392562866,-0.35281556844711304,-1.7626196495257318e-05,267,157,0.8510000586509705,0.934406578540802,"[209.92416381835938, 121.57951354980469, 324.6625671386719, 192.6331024169922]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0014_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
15,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.0829904079437256,-0.35281556844711304,-1.7626196495257318e-05,267,157,0.850000011920929,0.9329472184181213,"[209.9832000732422, 121.48551940917969, 324.82073974609375, 192.7349090576172]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0015_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
16,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.119805932044983,-0.35281556844711304,-1.7626196495257318e-05,266,161,0.853000032901764,0.9227316379547119,"[210.23089599609375, 125.40745544433594, 323.7269287109375, 197.58656311035156]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0016_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
17,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.1550875902175903,-0.35281556844711304,-1.7626196495257318e-05,266,166,0.8800000429153443,0.9219141006469727,"[210.20492553710938, 130.58425903320312, 322.2528991699219, 203.24331665039062]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0017_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
18,1,3,grid_03_j1_-0.55_j2_-1.05_j3_+1.25,-0.5506991147994995,-1.052310824394226,1.2103108167648315,-0.35281556844711304,-1.7626196495257318e-05,265,172,0.8820000171661377,0.8872514963150024,"[210.64707946777344, 137.58717346191406, 320.795166015625, 207.78004455566406]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0018_cycle_01_pose_03_grid_03_j1_-0.55_j2_-1.05_j3_+1.25.jpg
19,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-1.052310824394226,1.2455923557281494,-0.35281556844711304,-1.7626196495257318e-05,264,180,0.8860000252723694,0.8939803242683411,"[211.5870819091797, 144.41998291015625, 316.90032958984375, 216.39068603515625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0019_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
20,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-1.0154953002929688,1.179631233215332,-0.35281556844711304,-1.7626196495257318e-05,284,186,0.8640000104904175,0.8804506659507751,"[211.52261352539062, 149.59698486328125, 357.2441101074219, 222.59027099609375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0020_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
21,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-0.9786797165870667,1.1029322147369385,-0.35281556844711304,-1.7626196495257318e-05,264,179,0.8880000591278077,0.8855563402175903,"[209.5845947265625, 143.95974731445312, 318.73956298828125, 215.47860717773438]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0021_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
22,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-0.9433981776237488,1.026233196258545,-0.35281556844711304,-1.7626196495257318e-05,261,170,0.8800000429153443,0.8850346803665161,"[207.60340881347656, 134.94041442871094, 315.17431640625, 206.73680114746094]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0022_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
23,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-0.9065826535224915,0.9572039842605591,-0.35281556844711304,-1.7626196495257318e-05,261,162,0.8750000476837159,0.9128684997558594,"[205.00222778320312, 125.7070541381836, 318.2663879394531, 198.87875366210938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0023_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
24,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-0.8636311888694763,0.8728350400924683,-0.35281556844711304,-1.7626196495257318e-05,260,155,0.853000032901764,0.9097017049789429,"[203.47662353515625, 118.8101806640625, 318.09637451171875, 192.56881713867188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0024_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
25,1,4,grid_04_j1_-0.55_j2_-0.85_j3_+0.85,-0.5506991147994995,-0.8513593077659607,0.8482913970947266,-0.35281556844711304,-1.7626196495257318e-05,260,147,0.8320000648498536,0.9206884503364563,"[201.4302215576172, 110.79324340820312, 318.74981689453125, 183.71389770507812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0025_cycle_01_pose_04_grid_04_j1_-0.55_j2_-0.85_j3_+0.85.jpg
26,1,5,grid_05_j1_-0.55_j2_-0.85_j3_+1.05,-0.5506991147994995,-0.8513593077659607,0.8482913970947266,-0.35281556844711304,-1.7626196495257318e-05,259,144,0.8280000567436219,0.9135521650314331,"[200.219970703125, 107.72132110595703, 318.4124755859375, 180.780029296875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0026_cycle_01_pose_05_grid_05_j1_-0.55_j2_-0.85_j3_+1.05.jpg
27,1,5,grid_05_j1_-0.55_j2_-0.85_j3_+1.05,-0.5506991147994995,-0.8513593077659607,0.8682331442832947,-0.35281556844711304,-1.7626196495257318e-05,259,144,0.837000060081482,0.9148076772689819,"[200.248046875, 107.7827377319336, 318.4747314453125, 180.94271850585938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0027_cycle_01_pose_05_grid_05_j1_-0.55_j2_-0.85_j3_+1.05.jpg
28,1,5,grid_05_j1_-0.55_j2_-0.85_j3_+1.05,-0.5506991147994995,-0.8513593077659607,0.9111846089363098,-0.35281556844711304,-1.7626196495257318e-05,259,146,0.8330000519752503,0.9175049066543579,"[200.1680908203125, 110.27679443359375, 318.41680908203125, 183.67388916015625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0028_cycle_01_pose_05_grid_05_j1_-0.55_j2_-0.85_j3_+1.05.jpg
29,1,5,grid_05_j1_-0.55_j2_-0.85_j3_+1.05,-0.5506991147994995,-0.8513593077659607,0.9480001330375671,-0.35281556844711304,-1.7626196495257318e-05,258,153,0.8480000376701355,0.9060661792755127,"[200.33265686035156, 115.91926574707031, 315.8172607421875, 190.7498321533203]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-23-00/sample_0029_cycle_01_pose_05_grid_05_j1_-0.55_j2_-0.85_j3_+1.05.jpg
