sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
1,1,1,calib_01_center_high,-2.0694557179012918e-13,-0.6488738656044006,0.8482913970947266,-0.35281556844711304,4.259199937184377e-10,368,109,0.6320000171661377,0.9434353113174438,"[299.55078125, 55.78093338012695, 437.44500732421875, 162.3983917236328]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-01-01/sample_0001_cycle_01_pose_01_calib_01_center_high.jpg
2,1,4,calib_04_left_front,-0.5016117095947266,0.8743690252304077,-0.35588353872299194,-0.475534051656723,-1.7626196495257318e-05,207,279,0.5570000290870667,0.9433324337005615,"[112.12420654296875, 197.24179077148438, 302.8336181640625, 362.6315002441406]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-01-01/sample_0002_cycle_01_pose_04_calib_04_left_front.jpg
3,1,5,calib_05_left_mid,-1.0001554489135742,-0.4555923044681549,1.2394565343856812,-0.4770680367946625,-1.7626196495257318e-05,245,203,0.7220000505447388,0.9212151169776917,"[187.97900390625, 143.31680297851562, 302.73004150390625, 263.11322021484375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-01-01/sample_0003_cycle_01_pose_05_calib_05_left_mid.jpg
4,1,6,calib_06_right_mid,0.9710098505020142,-0.4417864680290222,1.2333205938339233,-0.4770680367946625,-1.7626196495257318e-05,473,205,0.7240000247955323,0.9412527084350586,"[412.0452880859375, 145.28802490234375, 535.3092651367188, 265.7645263671875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_05-01-01/sample_0004_cycle_01_pose_06_calib_06_right_mid.jpg
