sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
1,1,1,calib_01_center_high,0.0782330185174942,-0.4970097839832306,1.1642913818359375,-0.452524334192276,-1.7626196495257318e-05,412,320,0.6180000185966492,0.9306231141090393,"[334.13189697265625, 251.40036010742188, 490.43597412109375, 390.0464172363281]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0001_cycle_01_pose_01_calib_01_center_high.jpg
2,1,1,calib_01_center_high,0.041417479515075684,-0.5691068768501282,1.0170292854309082,-0.4049709141254425,-1.7626196495257318e-05,413,303,0.6070000410079956,0.942889928817749,"[334.0012512207031, 231.6479034423828, 493.2026062011719, 375.38140869140625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0002_cycle_01_pose_01_calib_01_center_high.jpg
3,1,1,calib_01_center_high,-2.0694557179012918e-13,-0.653475821018219,0.8513593077659607,-0.35281556844711304,-1.7626196495257318e-05,413,258,0.5920000553131104,0.9153844714164734,"[329.26611328125, 191.22640991210938, 498.5172119140625, 326.1695251464844]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0003_cycle_01_pose_01_calib_01_center_high.jpg
4,1,2,calib_02_center_mid,-2.0694557179012918e-13,-0.6550098061561584,0.849825382232666,-0.35281556844711304,-1.7626196495257318e-05,409,205,0.5870000004768372,0.9384072422981262,"[323.85675048828125, 147.76702880859375, 494.44329833984375, 263.8895263671875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0004_cycle_01_pose_02_calib_02_center_mid.jpg
5,1,2,calib_02_center_mid,-0.0015339808305725455,-0.7179030179977417,0.9035146832466125,-0.35128161311149597,-1.7626196495257318e-05,408,203,0.5850000262260437,0.9366120100021362,"[322.61285400390625, 145.62225341796875, 494.71527099609375, 261.15863037109375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0005_cycle_01_pose_02_calib_02_center_mid.jpg
6,1,2,calib_02_center_mid,-0.0015339808305725455,-0.7915340662002563,0.9817476868629456,-0.35281556844711304,-1.7626196495257318e-05,405,202,0.5890000343322754,0.9429836273193359,"[321.48028564453125, 146.13739013671875, 488.5980224609375, 258.5272216796875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0006_cycle_01_pose_02_calib_02_center_mid.jpg
7,1,2,calib_02_center_mid,-0.0015339808305725455,-0.8544272780418396,1.0461748838424683,-0.35128161311149597,-1.7626196495257318e-05,399,207,0.600000011920929,0.9409016966819763,"[317.4654235839844, 151.23898315429688, 481.8530578613281, 263.4365234375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0007_cycle_01_pose_02_calib_02_center_mid.jpg
8,1,3,calib_03_center_low,-0.0015339808305725455,-0.859029233455658,1.0461748838424683,-0.35281556844711304,-1.7626196495257318e-05,396,212,0.6060000538825989,0.9274260997772217,"[314.69317626953125, 156.98373413085938, 477.3118896484375, 267.0176696777344]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0008_cycle_01_pose_03_calib_03_center_low.jpg
9,1,3,calib_03_center_low,-0.0015339808305725455,-0.9341943264007568,1.1259418725967407,-0.38963112235069275,-1.7626196495257318e-05,395,211,0.6060000538825989,0.9300723671913147,"[314.6729736328125, 156.97531127929688, 476.2398681640625, 266.43682861328125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0009_cycle_01_pose_03_calib_03_center_low.jpg
10,1,3,calib_03_center_low,-0.0015339808305725455,-1.0047574043273926,1.1980390548706055,-0.4264466464519501,-1.7626196495257318e-05,391,212,0.6170000314712525,0.9375789761543274,"[310.50201416015625, 159.09576416015625, 471.79925537109375, 266.2520751953125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0010_cycle_01_pose_03_calib_03_center_low.jpg
11,1,3,calib_03_center_low,-0.0015339808305725455,-1.0538448095321655,1.2501943111419678,-0.45099034905433655,-1.7626196495257318e-05,387,214,0.6220000267028809,0.934480607509613,"[307.0057373046875, 162.48251342773438, 467.2435302734375, 267.1379089355469]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0011_cycle_01_pose_03_calib_03_center_low.jpg
12,1,4,calib_04_left_front,-0.004601942375302315,-1.052310824394226,1.2486603260040283,-0.452524334192276,-1.7626196495257318e-05,386,216,0.6300000429153443,0.9301846623420715,"[307.78021240234375, 165.16390991210938, 465.07025146484375, 268.6756896972656]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0012_cycle_01_pose_04_calib_04_left_front.jpg
13,1,4,calib_04_left_front,-0.18561168015003204,-0.34514567255973816,0.6688156127929688,-0.4601942300796509,-1.7626196495257318e-05,386,217,0.6290000557899476,0.9307668805122375,"[308.1544189453125, 165.34469604492188, 465.0162353515625, 268.7799987792969]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0013_cycle_01_pose_04_calib_04_left_front.jpg
14,1,4,calib_04_left_front,-0.41264083981513977,0.5353593230247498,-0.06902913749217987,-0.4724660813808441,-1.7626196495257318e-05,378,212,0.5470000088214875,0.942480206489563,"[293.22943115234375, 151.96865844726562, 463.51007080078125, 273.6661071777344]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0014_cycle_01_pose_04_calib_04_left_front.jpg
15,1,4,calib_04_left_front,-0.5016117095947266,0.8851069211959839,-0.3604854941368103,-0.475534051656723,-1.7626196495257318e-05,310,368,0.4680000126361847,0.793146014213562,"[208.26925659179688, 257.7685546875, 412.3874206542969, 480.0]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0015_cycle_01_pose_04_calib_04_left_front.jpg
16,1,5,calib_05_left_mid,-0.5062136650085449,0.8835729360580444,-0.35281556844711304,-0.4770680367946625,-1.7626196495257318e-05,260,411,0.45500003099441527,0.8844034075737,"[158.8885498046875, 344.1146240234375, 361.9852294921875, 479.8665771484375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0016_cycle_01_pose_05_calib_05_left_mid.jpg
17,1,5,calib_05_left_mid,-0.7255728840827942,0.2899223566055298,0.3436116874217987,-0.4770680367946625,-1.7626196495257318e-05,263,411,0.45400001406669616,0.8841160535812378,"[158.82623291015625, 344.06243896484375, 368.25970458984375, 479.83258056640625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0017_cycle_01_pose_05_calib_05_left_mid.jpg
18,1,5,calib_05_left_mid,-1.0016894340515137,-0.46479618549346924,1.2394565343856812,-0.4770680367946625,-1.7626196495257318e-05,214,348,0.5230000197887421,0.9408186078071594,"[112.53026580810547, 258.109130859375, 315.47216796875, 437.9937744140625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0018_cycle_01_pose_05_calib_05_left_mid.jpg
19,1,6,calib_06_right_mid,-1.0001554489135742,-0.45712628960609436,1.2394565343856812,-0.4770680367946625,-1.7626196495257318e-05,243,309,0.650000023841858,0.9414243698120117,"[172.552490234375, 237.58782958984375, 313.49517822265625, 381.12255859375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0019_cycle_01_pose_06_calib_06_right_mid.jpg
20,1,6,calib_06_right_mid,-0.40957286953926086,-0.4586602449417114,1.2394565343856812,-0.4770680367946625,-1.7626196495257318e-05,243,310,0.650000023841858,0.9430955052375793,"[172.4161376953125, 238.75582885742188, 315.1249084472656, 382.5024719238281]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0020_cycle_01_pose_06_calib_06_right_mid.jpg
21,1,6,calib_06_right_mid,0.30526217818260193,-0.45405831933021545,1.2394565343856812,-0.4770680367946625,-1.7626196495257318e-05,333,301,0.6060000538825989,0.5281481742858887,"[260.9116516113281, 248.82009887695312, 405.2008361816406, 354.6039123535156]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0021_cycle_01_pose_06_calib_06_right_mid.jpg
22,1,6,calib_06_right_mid,0.9848156571388245,-0.44332045316696167,1.2348545789718628,-0.4770680367946625,-1.7626196495257318e-05,427,315,0.6240000009536744,0.8764158487319946,"[343.412353515625, 244.66619873046875, 510.9169921875, 386.4169921875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0022_cycle_01_pose_06_calib_06_right_mid.jpg
23,1,7,calib_07_right_front,0.9710098505020142,-0.44332045316696167,1.2348545789718628,-0.4770680367946625,-1.7626196495257318e-05,477,290,0.6355000019073487,0.8485519289970398,"[424.74786376953125, 229.16912841796875, 529.4750366210938, 352.72467041015625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0023_cycle_01_pose_07_calib_07_right_front.jpg
24,1,7,calib_07_right_front,0.8544272780418396,0.058291271328926086,0.6059224009513855,-0.4770680367946625,-1.7626196495257318e-05,478,291,0.6330000042915345,0.8436083793640137,"[427.40081787109375, 230.08145141601562, 529.5184936523438, 353.1555480957031]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0024_cycle_01_pose_07_calib_07_right_front.jpg
25,1,8,calib_08_right_low,0.6013204455375671,0.7853981852531433,-0.8421554565429688,0.05062136426568031,-1.7626196495257318e-05,621,340,0.5370000183582306,0.6076750755310059,"[602.5802001953125, 281.02471923828125, 640.0, 399.07781982421875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0025_cycle_01_pose_08_calib_08_right_low.jpg
26,1,9,calib_09_left_low,-0.08590292185544968,0.452524334192276,-0.9725438356399536,0.5537670850753784,-3.5252818634035066e-05,576,146,0.448000031709671,0.65639728307724,"[513.7215576171875, 71.6090087890625, 639.8641357421875, 222.02200317382812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0026_cycle_01_pose_09_calib_09_left_low.jpg
27,1,9,calib_09_left_low,-0.5246214270591736,0.45099034905433655,-0.9725438356399536,0.5460971593856812,-1.7626196495257318e-05,468,149,0.4440000236034393,0.771896243095398,"[340.1422119140625, 69.71613311767578, 596.2304077148438, 229.01141357421875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-25-50/sample_0027_cycle_01_pose_09_calib_09_left_low.jpg
