sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
46,1,8,calib_08_right_low,0.604388415813446,1.0124273300170898,-0.7347767949104309,-0.3236699402332306,-1.7626196495257318e-05,529,265,0.8040000081062317,0.9153416156768799,"[468.7164611816406, 220.9508514404297, 589.8572998046875, 310.07806396484375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0046_cycle_01_pose_08_calib_08_right_low.jpg
47,1,8,calib_08_right_low,0.604388415813446,0.8866409063339233,-0.7853981852531433,-0.13038836419582367,-1.7626196495257318e-05,533,249,0.7980000257492066,0.9038023352622986,"[470.49188232421875, 201.71078491210938, 597.1364135742188, 297.3051452636719]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0047_cycle_01_pose_08_calib_08_right_low.jpg
48,1,8,calib_08_right_low,0.604388415813446,0.7608544826507568,-0.8344855308532715,0.06289321184158325,-1.7626196495257318e-05,532,219,0.7910000562667847,0.9256316423416138,"[471.2131652832031, 173.11260986328125, 593.88916015625, 266.4469299316406]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0048_cycle_01_pose_08_calib_08_right_low.jpg
49,1,8,calib_08_right_low,0.604388415813446,0.6396700143814087,-0.8912428617477417,0.25770875811576843,-1.7626196495257318e-05,530,191,0.787000048160553,0.9045838713645935,"[469.7659912109375, 145.12686157226562, 590.3565673828125, 237.68350219726562]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0049_cycle_01_pose_08_calib_08_right_low.jpg
50,1,8,calib_08_right_low,0.604388415813446,0.5108156204223633,-0.9480001330375671,0.4632622003555298,-1.7626196495257318e-05,519,155,0.7880000352859498,0.46273595094680786,"[461.4454650878906, 111.15966796875, 578.0350341796875, 200.8128662109375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0050_cycle_01_pose_08_calib_08_right_low.jpg
51,1,8,calib_08_right_low,0.604388415813446,0.44332045316696167,-0.9725438356399536,0.5553010702133179,-1.7626196495257318e-05,513,131,0.7990000128746033,0.8763707876205444,"[455.4042053222656, 87.5247802734375, 571.5953369140625, 175.16900634765625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0051_cycle_01_pose_08_calib_08_right_low.jpg
52,1,9,calib_09_left_low,0.604388415813446,0.4448544383049011,-0.9725438356399536,0.5537670850753784,-1.7626196495257318e-05,506,116,0.8050000548362732,0.9179837703704834,"[450.4022216796875, 73.05630493164062, 562.8521728515625, 160.01467895507812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0052_cycle_01_pose_09_calib_09_left_low.jpg
53,1,9,calib_09_left_low,0.38963112235069275,0.44332045316696167,-0.9740778207778931,0.552233099937439,-1.7626196495257318e-05,506,116,0.8040000081062317,0.9185411334037781,"[450.690673828125, 73.09715270996094, 562.5968627929688, 160.06932067871094]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0053_cycle_01_pose_09_calib_09_left_low.jpg
54,1,9,calib_09_left_low,0.12425244599580765,0.44332045316696167,-0.9740778207778931,0.5491651296615601,-1.7626196495257318e-05,468,117,0.7720000624656678,0.9398908019065857,"[403.56640625, 72.81503295898438, 534.302978515625, 162.3407745361328]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0054_cycle_01_pose_09_calib_09_left_low.jpg
55,1,9,calib_09_left_low,-0.139592245221138,0.4448544383049011,-0.9740778207778931,0.5476311445236206,-1.7626196495257318e-05,406,118,0.7540000557899476,0.9506489634513855,"[345.10247802734375, 73.46797180175781, 467.99407958984375, 163.67288208007812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0055_cycle_01_pose_09_calib_09_left_low.jpg
56,1,9,calib_09_left_low,-0.139592245221138,0.4448544383049011,-0.9740778207778931,0.5476311445236206,-1.7626196495257318e-05,346,120,0.756000030040741,0.9480800032615662,"[288.5862731933594, 74.81800842285156, 403.7064514160156, 165.76246643066406]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0056_cycle_01_pose_09_calib_09_left_low.jpg
57,1,10,calib_10_far_left,-0.604388415813446,0.45405831933021545,-0.9725438356399536,0.5430291891098022,-1.7626196495257318e-05,240,122,0.787000048160553,0.934681236743927,"[174.1951904296875, 78.27601623535156, 306.0704040527344, 166.9364013671875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0057_cycle_01_pose_10_calib_10_far_left.jpg
58,1,10,calib_10_far_left,-0.685689389705658,0.34514567255973816,-0.9480001330375671,0.5430291891098022,-1.7626196495257318e-05,240,122,0.7910000562667847,0.9331113696098328,"[174.41534423828125, 78.26614379882812, 305.81610107421875, 166.6970672607422]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0058_cycle_01_pose_10_calib_10_far_left.jpg
